Time,Lane 1 Flow (Veh/h),Lane 2 Flow (Veh/h),Lane 3 Flow (Veh/h),Lane 4 Flow (Veh/h),Lane 1 Speed (km/h),Lane 2 Speed (km/h),Lane 3 Speed (km/h),Lane 4 Speed (km/h),Lane 1 Occ (%),Lane 2 Occ (%),Lane 3 Occ (%),Lane 4 Occ (%),Week
00:00,364.0,459.0,675.0,462.0,113.92,107.82,114.34,102.41,2.4,2.4,4.1,2.8,7.0
00:05,397.0,564.0,580.0,461.0,116.49,114.04,106.29,107.02,2.3,2.2,3.9,2.7,7.0
00:10,421.0,510.0,659.0,413.0,121.09,108.68,110.78,96.92,2.4,2.2,4.0,2.7,7.0
00:15,332.0,427.0,574.0,444.0,115.46,106.07,108.65,106.64,2.2,2.2,3.7,2.7,7.0
00:20,414.0,588.0,524.0,572.0,119.51,109.69,106.29,111.16,2.3,2.4,3.4,3.2,7.0
00:25,343.0,432.0,570.0,397.0,114.82,113.64,106.74,105.29,2.2,2.0,3.8,2.5,7.0
00:30,368.0,478.0,479.0,436.0,119.55,106.19,104.57,109.04,2.3,2.4,3.2,2.5,7.0
00:35,303.0,360.0,519.0,353.0,112.18,105.03,99.73,98.85,2.1,2.2,3.8,2.3,7.0
00:40,326.0,442.0,473.0,466.0,116.99,108.71,108.6,104.43,2.0,2.1,2.9,2.8,7.0
00:45,303.0,390.0,476.0,378.0,113.45,115.55,111.15,106.75,1.9,1.7,2.9,2.2,7.0
00:50,332.0,422.0,517.0,435.0,111.15,104.86,110.08,108.75,2.2,2.2,3.2,2.7,7.0
00:55,354.0,482.0,511.0,458.0,113.58,112.63,104.92,99.08,2.3,2.7,3.4,3.2,7.0
01:00,252.0,367.0,440.0,322.0,110.93,108.19,115.07,97.39,1.8,2.1,2.6,1.9,7.0
01:05,308.0,344.0,557.0,302.0,115.6,113.05,111.19,103.2,2.0,1.6,3.4,1.8,7.0
01:10,327.0,449.0,494.0,507.0,113.86,106.02,108.32,103.94,2.2,2.6,3.1,3.1,7.0
