Time,Lane 1 Flow (Veh/h),Lane 2 Flow (Veh/h),Lane 3 Flow (Veh/h),Lane 4 Flow (Veh/h),Lane 1 Speed (km/h),Lane 2 Speed (km/h),Lane 3 Speed (km/h),Lane 4 Speed (km/h),Lane 1 Occ (%),Lane 2 Occ (%),Lane 3 Occ (%),Lane 4 Occ (%),Week
00:00,343.0,605.0,608.0,568.0,116.71,107.92,106.62,97.61,1.5,4.0,3.1,3.2,7.0
00:05,251.0,450.0,522.0,442.0,117.9,107.56,109.33,108.76,1.1,2.8,2.7,2.2,7.0
00:10,278.0,502.0,545.0,481.0,125.05,109.29,109.45,109.73,1.1,3.1,2.7,2.5,7.0
00:15,264.0,445.0,575.0,422.0,118.45,107.19,111.33,105.44,1.1,2.7,2.7,2.2,7.0
00:20,247.0,496.0,431.0,498.0,116.37,110.84,109.3,110.61,1.2,2.9,2.1,2.5,7.0
00:25,261.0,430.0,586.0,403.0,116.42,107.92,108.64,106.99,1.1,2.7,2.9,2.2,7.0
00:30,258.0,464.0,471.0,453.0,121.08,105.66,109.61,107.13,1.2,3.0,2.3,2.4,7.0
00:35,227.0,445.0,423.0,437.0,116.14,107.97,106.42,110.04,1.1,3.1,2.4,2.5,7.0
00:40,201.0,350.0,482.0,401.0,115.5,104.96,110.01,101.28,0.9,2.4,2.3,2.3,7.0
00:45,197.0,320.0,474.0,291.0,121.77,112.72,106.04,100.34,0.8,1.8,2.4,1.6,7.0
00:50,259.0,511.0,483.0,484.0,121.9,114.72,108.88,102.07,1.1,2.9,2.4,2.8,7.0
00:55,218.0,400.0,437.0,328.0,119.62,107.05,108.97,104.91,0.9,2.5,2.2,1.8,7.0
01:00,151.0,284.0,447.0,300.0,114.34,103.57,109.16,107.83,0.7,1.7,2.2,1.5,7.0
01:05,225.0,279.0,410.0,271.0,116.78,110.8,105.96,105.35,0.7,1.8,2.1,1.6,7.0
01:10,176.0,329.0,420.0,324.0,115.91,111.32,111.47,107.09,0.7,2.0,2.1,1.7,7.0
01:15,180.0,361.0,386.0,342.0,118.73,106.1,109.11,101.9,0.7,2.2,1.9,1.9,7.0
01:20,96.0,247.0,254.0,265.0,118.31,112.75,108.81,108.69,0.5,1.5,1.4,1.3,7.0
01:25,185.0,333.0,379.0,258.0,121.43,112.74,104.23,100.63,0.7,2.0,1.9,1.5,7.0
01:30,143.0,253.0,401.0,251.0,117.47,110.09,110.47,102.57,0.7,1.8,1.9,1.3,7.0
01:35,123.0,218.0,315.0,215.0,120.91,110.0,105.85,102.87,0.5,1.3,1.6,1.1,7.0
01:40,147.0,283.0,302.0,279.0,120.77,106.98,109.61,104.23,0.6,1.9,1.5,1.5,7.0
01:45,154.0,284.0,396.0,256.0,116.82,107.7,109.04,104.06,0.7,2.1,1.9,1.4,7.0
01:50,178.0,336.0,400.0,334.0,116.96,109.05,110.46,106.62,0.7,2.0,1.9,1.7,7.0
01:55,118.0,166.0,248.0,184.0,115.97,107.32,112.36,104.82,0.4,1.1,1.2,1.0,7.0
02:00,,,,,,,,,,,,,7.0
02:05,130.0,157.0,281.0,156.0,116.35,109.83,110.26,102.15,0.5,1.1,1.4,0.8,7.0
02:10,99.0,168.0,203.0,137.0,121.12,109.3,107.52,105.83,0.4,1.0,1.1,0.7,7.0
02:15,136.0,174.0,275.0,186.0,121.7,113.26,103.24,105.39,0.5,1.1,1.4,1.0,7.0
02:20,157.0,150.0,313.0,145.0,118.53,113.47,112.56,102.83,0.3,0.8,1.5,0.8,7.0
02:25,93.0,196.0,209.0,160.0,114.43,111.03,104.58,104.51,0.4,1.3,1.1,0.8,7.0
02:30,120.0,97.0,250.0,103.0,117.91,109.21,106.27,96.18,0.5,1.5,1.4,0.8,7.0
02:35,135.0,107.0,282.0,129.0,120.17,106.57,110.34,97.37,0.4,1.3,1.3,1.2,7.0
02:40,84.0,164.0,192.0,161.0,117.71,113.71,108.43,96.84,0.3,1.1,1.0,0.9,7.0
02:45,104.0,160.0,215.0,146.0,113.14,111.67,107.57,102.6,0.4,1.0,1.2,0.9,7.0
02:50,122.0,119.0,246.0,144.0,119.83,107.27,105.55,100.23,0.3,1.1,1.2,1.1,7.0
02:55,70.0,61.0,154.0,84.0,114.47,110.53,106.74,100.46,0.3,0.6,0.8,0.5,7.0
03:00,58.0,37.0,143.0,73.0,114.38,111.11,107.53,103.28,0.3,0.3,0.8,0.4,7.0
03:05,48.0,107.0,116.0,85.0,117.71,107.97,104.86,102.89,0.2,0.4,0.6,0.5,7.0
03:10,122.0,117.0,255.0,108.0,120.35,106.14,115.17,101.97,0.5,0.9,1.2,0.6,7.0
03:15,71.0,179.0,163.0,193.0,116.62,108.6,105.23,102.85,0.2,1.0,0.8,1.0,7.0
03:20,84.0,84.0,181.0,109.0,118.5,109.69,109.22,102.49,0.3,0.8,0.9,0.6,7.0
03:25,47.0,118.0,150.0,152.0,114.45,107.06,112.97,107.38,0.2,0.8,0.8,0.8,7.0
03:30,47.0,37.0,120.0,59.0,115.19,110.95,108.07,99.25,0.2,0.4,0.6,0.3,7.0
03:35,12.0,48.0,72.0,60.0,118.13,109.11,108.47,101.71,0.0,0.5,0.3,0.3,7.0
03:40,47.0,24.0,131.0,61.0,115.31,109.9,107.38,104.09,0.2,0.4,0.7,0.3,7.0
03:45,72.0,108.0,164.0,128.0,117.79,108.74,105.22,97.76,0.3,0.9,1.0,0.9,7.0
03:50,24.0,57.0,84.0,83.0,115.68,103.15,108.34,99.89,0.1,0.4,0.5,0.5,7.0
03:55,24.0,71.0,63.0,72.0,119.1,107.5,113.41,102.03,0.2,0.1,0.3,0.4,7.0
04:00,49.0,85.0,109.0,99.0,119.79,110.73,109.19,104.87,0.2,0.7,0.5,0.5,7.0
04:05,24.0,24.0,84.0,48.0,117.94,110.74,108.94,100.56,0.1,0.6,0.4,0.2,7.0
04:10,37.0,85.0,111.0,49.0,120.2,110.29,112.05,103.81,0.1,0.7,0.5,0.2,7.0
04:15,35.0,48.0,122.0,75.0,113.23,108.72,109.64,105.35,0.2,0.5,0.8,0.4,7.0
04:20,37.0,61.0,111.0,46.0,121.19,110.92,110.7,97.97,0.2,0.4,0.5,0.3,7.0
04:25,25.0,49.0,81.0,76.0,124.82,112.28,104.9,106.52,0.1,0.2,0.4,0.4,7.0
04:30,35.0,48.0,96.0,82.0,114.81,108.77,108.92,99.71,0.1,0.2,0.5,0.4,7.0
04:35,36.0,71.0,92.0,74.0,117.21,106.4,103.46,103.24,0.2,0.3,0.5,0.5,7.0
04:40,36.0,24.0,111.0,60.0,119.54,109.69,111.07,100.78,0.1,0.5,0.5,0.3,7.0
04:45,49.0,59.0,50.0,37.0,121.58,106.68,112.03,104.98,0.3,0.6,0.2,0.2,7.0
04:50,12.0,46.0,61.0,60.0,114.29,104.76,110.92,100.75,0.1,0.2,0.3,0.3,7.0
04:55,74.0,168.0,147.0,24.0,121.31,109.0,110.97,101.33,0.3,1.2,0.7,0.1,7.0
05:00,58.0,85.0,141.0,62.0,114.81,110.13,106.32,103.59,0.3,0.7,0.7,0.5,7.0
05:05,24.0,23.0,84.0,60.0,118.02,104.59,108.7,101.1,0.1,0.2,0.5,0.4,7.0
05:10,50.0,85.0,76.0,113.0,122.41,109.67,114.3,105.84,0.2,0.4,0.4,0.6,7.0
05:15,47.0,47.0,94.0,83.0,115.58,105.86,105.91,100.86,0.2,0.6,0.5,0.4,7.0
05:20,53.0,74.0,120.0,39.0,129.76,111.44,108.88,109.01,0.2,0.9,0.6,0.2,7.0
05:25,49.0,70.0,124.0,47.0,119.67,106.25,112.18,100.94,0.2,0.9,0.6,0.2,7.0
05:30,47.0,71.0,134.0,73.0,116.04,107.18,108.96,104.03,0.3,0.5,0.9,0.3,7.0
05:35,48.0,132.0,94.0,143.0,117.03,109.12,105.97,100.74,0.2,0.9,0.5,0.9,7.0
05:40,82.0,70.0,193.0,98.0,115.16,105.86,109.36,103.93,0.3,0.6,0.9,0.5,7.0
05:45,59.0,96.0,150.0,122.0,116.76,108.75,112.33,103.19,0.3,0.5,0.9,0.6,7.0
05:50,24.0,36.0,84.0,72.0,117.96,109.11,108.15,101.55,0.0,0.3,0.4,0.4,7.0
05:55,72.0,111.0,182.0,96.0,118.19,112.11,108.58,102.18,0.3,0.7,1.0,0.5,7.0
06:00,82.0,125.0,186.0,98.0,115.31,113.68,104.79,103.54,0.3,0.6,0.9,0.5,7.0
06:05,48.0,130.0,108.0,130.0,117.14,107.35,107.83,100.19,0.2,1.1,0.5,0.7,7.0
06:10,86.0,82.0,191.0,109.0,121.18,106.38,108.39,102.42,0.3,0.4,0.9,0.6,7.0
06:15,82.0,136.0,182.0,146.0,115.04,112.06,109.57,102.88,0.3,0.9,1.0,0.8,7.0
06:20,84.0,174.0,183.0,191.0,118.29,105.38,110.31,101.23,0.3,1.1,0.9,1.0,7.0
06:25,72.0,113.0,164.0,113.0,117.17,114.07,105.85,105.29,0.2,1.0,0.8,0.7,7.0
06:30,93.0,137.0,205.0,162.0,114.64,104.0,109.12,104.9,0.4,0.8,1.0,0.8,7.0
06:35,48.0,147.0,167.0,172.0,117.66,102.72,100.66,103.49,0.2,1.0,0.9,1.0,7.0
06:40,119.0,94.0,252.0,113.0,117.6,106.38,108.59,95.38,0.5,0.7,1.2,0.7,7.0
06:45,80.0,47.0,174.0,88.0,112.89,107.06,112.31,105.69,0.4,0.4,0.9,0.4,7.0
06:50,69.0,172.0,156.0,187.0,114.12,104.64,108.37,99.35,0.3,1.0,0.8,1.0,7.0
06:55,111.0,206.0,217.0,214.0,121.86,103.74,109.34,100.25,0.5,1.4,1.0,1.2,7.0
07:00,34.0,135.0,126.0,159.0,112.1,102.49,104.24,96.18,0.1,0.8,0.6,0.9,7.0
07:05,47.0,154.0,115.0,190.0,115.7,107.79,104.02,100.48,0.2,1.0,0.6,1.0,7.0
07:10,60.0,129.0,150.0,187.0,117.42,106.31,104.31,105.11,0.2,1.0,0.7,1.0,7.0
07:15,109.0,180.0,244.0,194.0,119.38,109.41,109.85,103.28,0.5,0.9,1.3,0.9,7.0
07:20,111.0,241.0,244.0,249.0,121.38,110.02,105.28,106.01,0.4,1.3,1.2,1.2,7.0
07:25,84.0,232.0,212.0,225.0,118.75,111.39,107.12,101.3,0.3,1.1,1.0,1.1,7.0
07:30,88.0,187.0,178.0,224.0,123.23,106.25,107.88,100.12,0.3,1.2,0.8,1.3,7.0
07:35,60.0,187.0,152.0,217.0,118.19,106.15,105.96,108.7,0.3,1.2,0.8,1.0,7.0
07:40,121.0,237.0,311.0,242.0,119.57,107.72,113.11,101.67,0.5,1.7,1.4,1.5,7.0
07:45,,,,,,,,,,,,,7.0
07:50,108.0,238.0,319.0,230.0,118.97,113.91,107.59,102.63,0.4,1.3,1.5,1.2,7.0
07:55,132.0,285.0,286.0,289.0,118.72,108.44,108.52,106.72,0.5,1.6,1.3,1.4,7.0
08:00,101.0,217.0,242.0,233.0,124.74,104.48,109.7,104.58,0.3,1.1,1.1,1.0,7.0
08:05,129.0,164.0,307.0,183.0,115.76,106.72,115.51,103.75,0.4,1.3,1.4,0.9,7.0
08:10,126.0,246.0,391.0,230.0,124.41,106.58,108.02,97.75,0.5,1.4,1.7,1.3,7.0
08:15,143.0,259.0,355.0,243.0,117.87,112.34,107.63,98.34,0.5,1.5,1.6,1.2,7.0
08:20,162.0,310.0,319.0,289.0,123.27,113.14,107.75,102.87,0.6,1.7,1.4,1.4,7.0
08:25,136.0,271.0,288.0,284.0,122.39,102.69,109.06,105.52,0.5,1.6,1.4,1.4,7.0
08:30,162.0,289.0,405.0,286.0,114.65,105.64,108.1,102.16,0.6,1.5,1.9,1.4,7.0
08:35,221.0,440.0,395.0,386.0,121.01,111.23,108.6,98.97,0.9,2.8,1.9,2.3,7.0
08:40,220.0,411.0,389.0,438.0,114.3,107.17,103.79,106.81,0.9,2.7,1.9,2.2,7.0
08:45,186.0,371.0,326.0,406.0,121.98,108.68,109.71,99.15,0.8,2.4,1.5,2.2,7.0
08:50,,,,,,,,,,,,,7.0
08:55,212.0,403.0,474.0,369.0,123.18,111.31,115.85,103.06,0.9,2.4,2.0,1.9,7.0
09:00,189.0,349.0,446.0,325.0,116.86,109.98,109.4,103.79,0.8,2.0,2.1,1.6,7.0
09:05,207.0,382.0,385.0,376.0,120.3,108.65,108.88,99.81,0.8,2.6,1.8,2.2,7.0
09:10,183.0,403.0,382.0,351.0,120.36,118.3,111.4,103.71,0.8,2.4,1.8,1.7,7.0
09:15,186.0,326.0,452.0,308.0,122.48,110.0,102.26,101.4,0.7,1.9,2.2,1.6,7.0
09:20,254.0,510.0,452.0,450.0,119.71,111.79,108.1,102.37,1.0,2.9,2.1,2.3,7.0
